"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7324","Success modal appears after submitting a valid practice form","","Fri Jul 24 09:38:22 UTC 2026","passed","Fri Jul 24 09:38:29 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldShowSuccessModalAfterSubmit"
"","3152","POST /auth returns a non-blank token for valid credentials","","Fri Jul 24 09:38:17 UTC 2026","passed","Fri Jul 24 09:38:20 UTC 2026","","com.flamingo.qa.tests.api.rest.AuthTest","com.flamingo.qa.tests.api.rest.AuthTest","shouldCreateAuthToken"
"","403","Query movies list with pagination limit via GraphQL variables","","Fri Jul 24 09:38:22 UTC 2026","passed","Fri Jul 24 09:38:22 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldListMoviesWithPaginationVariables"
"","323","Different GraphQL variable values change pagination result size","","Fri Jul 24 09:38:22 UTC 2026","passed","Fri Jul 24 09:38:22 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldRespectDifferentVariableValues"
"","3585","Create booking and retrieve it by id","","Fri Jul 24 09:38:17 UTC 2026","passed","Fri Jul 24 09:38:20 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateAndGetBooking"
"","187","Non-existent field returns HTTP 400 validation error","","Fri Jul 24 09:38:20 UTC 2026","passed","Fri Jul 24 09:38:20 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnValidationErrorForUnknownField"
"","7664","Empty required fields keep the form from submitting","","Fri Jul 24 09:38:20 UTC 2026","passed","Fri Jul 24 09:38:28 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldNotSubmitWhenRequiredFieldsAreEmpty"
"","4012","Query a single movie by ID using GraphQL variables","","Fri Jul 24 09:38:18 UTC 2026","passed","Fri Jul 24 09:38:22 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryMovieByIdWithVariables"
"","350","Create, get and update booking","","Fri Jul 24 09:38:20 UTC 2026","passed","Fri Jul 24 09:38:21 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateGetAndUpdateBooking"
"","12658","Invalid email and short mobile keep the form from submitting","","Fri Jul 24 09:38:16 UTC 2026","passed","Fri Jul 24 09:38:28 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldNotSubmitWithInvalidEmailAndMobile"
"","369","Delete booking returns 201 and booking is no longer retrievable","","Fri Jul 24 09:38:21 UTC 2026","passed","Fri Jul 24 09:38:21 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldDeleteBooking"
"","175","Invalid movie ID returns HTTP 200 with data.movie = null","","Fri Jul 24 09:38:20 UTC 2026","passed","Fri Jul 24 09:38:20 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnNullForNonExistentMovieId"
"","9375","Submit practice form with file upload, date picker and state/city dropdowns","","Fri Jul 24 09:38:20 UTC 2026","passed","Fri Jul 24 09:38:30 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldSubmitFormWithUploadDateAndDropdowns"
"","685","Query movies using a fragment and nested publishedBy.name","","Fri Jul 24 09:38:21 UTC 2026","passed","Fri Jul 24 09:38:22 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryWithFragmentAndNestedFields"
"","3155","Malformed query returns HTTP 400 with errors and null data","","Fri Jul 24 09:38:17 UTC 2026","passed","Fri Jul 24 09:38:20 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnErrorsForMalformedQuery"
